parcel_id,apn,county_fips,lot_sqft,zoning_code,zoning_allows_surface_parking,is_corner_lot,distance_to_nearest_demand_m,score_identification,score_entitlement,score_strategic,centroid_lon,centroid_lat
b08ced1c-0fad-4be2-a206-e42b39cb1135,033-9572000050,53033,4658.904667234066,,false,false,11988.399043258407,0.0,,,-122.32179210809304,47.498610427643165
0236eba6-c5eb-435c-b00b-24dd40bea1bd,033-9572000060,53033,4667.045407376289,,false,false,12011.556975734178,0.0,,,-122.32173676587944,47.49840414717633
df9faa39-9735-450a-8aa0-b9097ff1eae0,033-9572000070,53033,4762.5655906861875,,false,false,12030.134810777447,,,,-122.3217388806558,47.49823663017621
75e2b63b-7f14-4c22-86d2-98e713170762,033-9572000080,53033,6353.322933208918,,false,false,12047.347552031943,,,,-122.32169115742585,47.49808359708581
3510cf3f-3ef1-4c9f-83dd-30b4a4192182,033-9572000090,53033,4710.93446944465,,false,false,12065.512643360476,0.0,,,-122.3217112128937,47.49791901388507
2d4aa59a-a852-470b-857b-1fefaa712035,033-9572000100,53033,5707.3633170884905,,false,false,12080.937831662148,25.0,,,-122.32167312019044,47.49778166798702
b203be31-e058-43b8-95ba-f43a905d58b7,033-9572000110,53033,3498.1739856956733,,false,false,12027.81981821002,0.0,,,-122.32109523382168,47.49828651335881
8dcd4018-76b8-4910-9dc5-396f9e6ab9d1,033-9572000120,53033,3335.7351880497367,,false,false,12029.157096342387,,,,-122.32086124200013,47.49828544280397
64d27ca4-b723-4bb1-8e09-618fa1918147,033-957200TR-A,53033,4696.918071238726,,false,false,11991.849058645294,,,,-122.32082589297377,47.49862347554588
51001a23-a6ce-4b0b-a457-e0192489e9ff,033-957200TR-B,53033,2720.9876254804835,,false,false,12053.790616073939,0.0,,,-122.32147632332929,47.49803504527607
be3b8c75-7f76-4b33-ae07-a1f82d4fec1f,033-957200TR-C,53033,583.4734566297357,,false,false,12002.550059542,,,,-122.32152873265889,47.498494527297545
061d9bf2-8822-48ad-bc18-844891909f56,033-9572500010,53033,10307.503155625378,,false,false,15656.717729483464,25.0,,,-122.28520435237279,47.469001198860624
972b919a-dcaf-45ec-9195-62383107b596,033-9572500020,53033,8350.80340209358,,false,false,15625.07330976346,,,,-122.28524774758787,47.46928648703164
54855ed0-0b6e-4770-9096-411c663e8452,033-9572500030,53033,7189.099190731809,,false,false,15594.419767892527,25.0,,,-122.28523052764675,47.469572108591535
6f1cd74b-7fc2-4667-b5b1-5bccaa69c663,033-9572500040,53033,7530.498860315029,,false,false,15600.75940045702,,,,-122.28482580623113,47.46957712391141
8942ae3a-e6eb-4d02-9030-ac7f7cb3fcfd,033-9572500050,53033,8016.637074368916,,false,false,15632.005606058567,,,,-122.28477454222603,47.46929666261427
